x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
552;cinq-cent-cinquante-deux;cinq-cent-cinquante-deux;cinq-cent-cinquante-deuxième;cinq-cent-cinquante-deuxième;552ème;552ème
553;cinq-cent-cinquante-trois-;cinq-cent-cinquante-trois-;cinq-cent-cinquante-trois-ième;cinq-cent-cinquante-trois-ième;553ème;553ème
554;cinq-cent-cinquante-quatre;cinq-cent-cinquante-quatre;cinq-cent-cinquante-quatrième;cinq-cent-cinquante-quatrième;554ème;554ème
555;cinq-cent-cinquante-cinq;cinq-cent-cinquante-cinq;cinq-cent-cinquante-cinquième;cinq-cent-cinquante-cinquième;555ème;555ème
556;cinq-cent-cinquante-six;cinq-cent-cinquante-six;cinq-cent-cinquante-sixième;cinq-cent-cinquante-sixième;556ème;556ème
557;cinq-cent-cinquante-sept;cinq-cent-cinquante-sept;cinq-cent-cinquante-septième;cinq-cent-cinquante-septième;557ème;557ème
558;cinq-cent-cinquante-huit;cinq-cent-cinquante-huit;cinq-cent-cinquante-huitième;cinq-cent-cinquante-huitième;558ème;558ème
559;cinq-cent-cinquante-neuf;cinq-cent-cinquante-neuf;cinq-cent-cinquante-neuvième;cinq-cent-cinquante-neuvième;559ème;559ème
560;cinq-cent-soixante;cinq-cent-soixante;cinq-cent-soixantième;cinq-cent-soixantième;560ème;560ème
561;cinq-cent-soixante-et-un;cinq-cent-soixante-et-un;cinq-cent-soixante-et-unième;cinq-cent-soixante-et-unième;561ème;561ème
562;cinq-cent-soixante-deux;cinq-cent-soixante-deux;cinq-cent-soixante-deuxième;cinq-cent-soixante-deuxième;562ème;562ème
563;cinq-cent-soixante-trois;cinq-cent-soixante-trois;cinq-cent-soixante-troisième;cinq-cent-soixante-troisième;563ème;563ème
564;cinq-cent-soixante-quatre;cinq-cent-soixante-quatre;cinq-cent-soixante-quatrième;cinq-cent-soixante-quatrième;564ème;564ème
565;cinq-cent-soixante-cinq;cinq-cent-soixante-cinq;cinq-cent-soixante-cinquième;cinq-cent-soixante-cinquième;565ème;565ème
566;cinq-cent-soixante-six;cinq-cent-soixante-six;cinq-cent-soixante-sixième;cinq-cent-soixante-sixième;566ème;566ème
567;cinq-cent-soixante-sept;cinq-cent-soixante-sept;cinq-cent-soixante-septième;cinq-cent-soixante-septième;567ème;567ème
568;cinq-cent-soixante-huit;cinq-cent-soixante-huit;cinq-cent-soixante-huitième;cinq-cent-soixante-huitième;568ème;568ème
569;cinq-cent-soixante-neuf;cinq-cent-soixante-neuf;cinq-cent-soixante-neuvième;cinq-cent-soixante-neuvième;569ème;569ème
570;cinq-cent-soixante-dix;cinq-cent-soixante-dix;cinq-cent-soixante-dixième;cinq-cent-soixante-dixième;570ème;570ème
571;cinq-cent-soixante-et-onze;cinq-cent-soixante-et-onze;cinq-cent-soixante-et-onzième;cinq-cent-soixante-et-onzième;571ème;571ème
572;cinq-cent-soixante-douze;cinq-cent-soixante-douze;cinq-cent-soixante-douzième;cinq-cent-soixante-douzième;572ème;572ème
573;cinq-cent-soixante-treize;cinq-cent-soixante-treize;cinq-cent-soixante-treizième;cinq-cent-soixante-treizième;573ème;573ème
574;cinq-cent-soixante-quatorze;cinq-cent-soixante-quatorze;cinq-cent-soixante-quatorzième;cinq-cent-soixante-quatorzième;574ème;574ème
575;cinq-cent-soixante-quinze;cinq-cent-soixante-quinze;cinq-cent-soixante-quinzième;cinq-cent-soixante-quinzième;575ème;575ème
576;cinq-cent-soixante-seize;cinq-cent-soixante-seize;cinq-cent-soixante-seizième;cinq-cent-soixante-seizième;576ème;576ème
577;cinq-cent-soixante-dix-sept;cinq-cent-soixante-dix-sept;cinq-cent-soixante-dix-septième;cinq-cent-soixante-dix-septième;577ème;577ème
578;cinq-cent-soixante-dix-huit;cinq-cent-soixante-dix-huit;cinq-cent-soixante-dix-huitième;cinq-cent-soixante-dix-huitième;578ème;578ème
579;cinq-cent-soixante-dix-neuf;cinq-cent-soixante-dix-neuf;cinq-cent-soixante-dix-neuvième;cinq-cent-soixante-dix-neuvième;579ème;579ème
580;cinq-cent-quatre-vingts;cinq-cent-quatre-vingts;cinq-cent-quatre-vingtsième;cinq-cent-quatre-vingtsième;580ème;580ème
581;cinq-cent-quatre-vingt-un;cinq-cent-quatre-vingt-un;cinq-cent-quatre-vingt-unième;cinq-cent-quatre-vingt-unième;581ème;581ème
582;cinq-cent-quatre-vingt-deux;cinq-cent-quatre-vingt-deux;cinq-cent-quatre-vingt-deuxième;cinq-cent-quatre-vingt-deuxième;582ème;582ème
583;cinq-cent-quatre-vingt-trois;cinq-cent-quatre-vingt-trois;cinq-cent-quatre-vingt-troisième;cinq-cent-quatre-vingt-troisième;583ème;583ème
584;cinq-cent-quatre-vingt-quatre;cinq-cent-quatre-vingt-quatre;cinq-cent-quatre-vingt-quatrième;cinq-cent-quatre-vingt-quatrième;584ème;584ème
585;cinq-cent-quatre-vingt-cinq;cinq-cent-quatre-vingt-cinq;cinq-cent-quatre-vingt-cinquième;cinq-cent-quatre-vingt-cinquième;585ème;585ème
