x;letter;letter_f;ieme;ieme_f;ieme_number;ieme_number_f
873;huit-cent-soixante-treize;huit-cent-soixante-treize;huit-cent-soixante-treizième;huit-cent-soixante-treizième;873ème;873ème
874;huit-cent-soixante-quatorze;huit-cent-soixante-quatorze;huit-cent-soixante-quatorzième;huit-cent-soixante-quatorzième;874ème;874ème
875;huit-cent-soixante-quinze;huit-cent-soixante-quinze;huit-cent-soixante-quinzième;huit-cent-soixante-quinzième;875ème;875ème
876;huit-cent-soixante-seize;huit-cent-soixante-seize;huit-cent-soixante-seizième;huit-cent-soixante-seizième;876ème;876ème
877;huit-cent-soixante-dix-sept;huit-cent-soixante-dix-sept;huit-cent-soixante-dix-septième;huit-cent-soixante-dix-septième;877ème;877ème
878;huit-cent-soixante-dix-huit;huit-cent-soixante-dix-huit;huit-cent-soixante-dix-huitième;huit-cent-soixante-dix-huitième;878ème;878ème
879;huit-cent-soixante-dix-neuf;huit-cent-soixante-dix-neuf;huit-cent-soixante-dix-neuvième;huit-cent-soixante-dix-neuvième;879ème;879ème
880;huit-cent-quatre-vingts;huit-cent-quatre-vingts;huit-cent-quatre-vingtsième;huit-cent-quatre-vingtsième;880ème;880ème
881;huit-cent-quatre-vingt-un;huit-cent-quatre-vingt-un;huit-cent-quatre-vingt-unième;huit-cent-quatre-vingt-unième;881ème;881ème
882;huit-cent-quatre-vingt-deux;huit-cent-quatre-vingt-deux;huit-cent-quatre-vingt-deuxième;huit-cent-quatre-vingt-deuxième;882ème;882ème
883;huit-cent-quatre-vingt-trois;huit-cent-quatre-vingt-trois;huit-cent-quatre-vingt-troisième;huit-cent-quatre-vingt-troisième;883ème;883ème
884;huit-cent-quatre-vingt-quatre;huit-cent-quatre-vingt-quatre;huit-cent-quatre-vingt-quatrième;huit-cent-quatre-vingt-quatrième;884ème;884ème
885;huit-cent-quatre-vingt-cinq;huit-cent-quatre-vingt-cinq;huit-cent-quatre-vingt-cinquième;huit-cent-quatre-vingt-cinquième;885ème;885ème
886;huit-cent-quatre-vingt-six;huit-cent-quatre-vingt-six;huit-cent-quatre-vingt-sixième;huit-cent-quatre-vingt-sixième;886ème;886ème
887;huit-cent-quatre-vingt-sept;huit-cent-quatre-vingt-sept;huit-cent-quatre-vingt-septième;huit-cent-quatre-vingt-septième;887ème;887ème
888;huit-cent-quatre-vingt-huit;huit-cent-quatre-vingt-huit;huit-cent-quatre-vingt-huitième;huit-cent-quatre-vingt-huitième;888ème;888ème
889;huit-cent-quatre-vingt-neuf;huit-cent-quatre-vingt-neuf;huit-cent-quatre-vingt-neuvième;huit-cent-quatre-vingt-neuvième;889ème;889ème
890;huit-cent-quatre-vingt-dix;huit-cent-quatre-vingt-dix;huit-cent-quatre-vingt-dixième;huit-cent-quatre-vingt-dixième;890ème;890ème
891;huit-cent-quatre-vingt-onze;huit-cent-quatre-vingt-onze;huit-cent-quatre-vingt-onzième;huit-cent-quatre-vingt-onzième;891ème;891ème
892;huit-cent-quatre-vingt-douze;huit-cent-quatre-vingt-douze;huit-cent-quatre-vingt-douzième;huit-cent-quatre-vingt-douzième;892ème;892ème
893;huit-cent-quatre-vingt-treize;huit-cent-quatre-vingt-treize;huit-cent-quatre-vingt-treizième;huit-cent-quatre-vingt-treizième;893ème;893ème
894;huit-cent-quatre-vingt-quatorze;huit-cent-quatre-vingt-quatorze;huit-cent-quatre-vingt-quatorzième;huit-cent-quatre-vingt-quatorzième;894ème;894ème
895;huit-cent-quatre-vingt-quinze;huit-cent-quatre-vingt-quinze;huit-cent-quatre-vingt-quinzième;huit-cent-quatre-vingt-quinzième;895ème;895ème
896;huit-cent-quatre-vingt-seize;huit-cent-quatre-vingt-seize;huit-cent-quatre-vingt-seizième;huit-cent-quatre-vingt-seizième;896ème;896ème
897;huit-cent-quatre-vingt-dix-sept;huit-cent-quatre-vingt-dix-sept;huit-cent-quatre-vingt-dix-septième;huit-cent-quatre-vingt-dix-septième;897ème;897ème
898;huit-cent-quatre-vingt-dix-huit;huit-cent-quatre-vingt-dix-huit;huit-cent-quatre-vingt-dix-huitième;huit-cent-quatre-vingt-dix-huitième;898ème;898ème
899;huit-cent-quatre-vingt-dix-neuf;huit-cent-quatre-vingt-dix-neuf;huit-cent-quatre-vingt-dix-neuvième;huit-cent-quatre-vingt-dix-neuvième;899ème;899ème
900;neuf-cents;neuf-cents;neuf-centsième;neuf-centsième;900ème;900ème
901;neuf-cent-un;neuf-cent-un;neuf-cent-unième;neuf-cent-unième;901ème;901ème
902;neuf-cent-deux;neuf-cent-deux;neuf-cent-deuxième;neuf-cent-deuxième;902ème;902ème
903;neuf-cent-trois;neuf-cent-trois;neuf-cent-troisième;neuf-cent-troisième;903ème;903ème
904;neuf-cent-quatre;neuf-cent-quatre;neuf-cent-quatrième;neuf-cent-quatrième;904ème;904ème
905;neuf-cent-cinq;neuf-cent-cinq;neuf-cent-cinquième;neuf-cent-cinquième;905ème;905ème
906;neuf-cent-six;neuf-cent-six;neuf-cent-sixième;neuf-cent-sixième;906ème;906ème
907;neuf-cent-sept;neuf-cent-sept;neuf-cent-septième;neuf-cent-septième;907ème;907ème
908;neuf-cent-huit;neuf-cent-huit;neuf-cent-huitième;neuf-cent-huitième;908ème;908ème
909;neuf-cent-neuf ;neuf-cent-neuf ;neuf-cent-neuf ième;neuf-cent-neuf ième;909ème;909ème
910;neuf-cent-dix;neuf-cent-dix;neuf-cent-dixième;neuf-cent-dixième;910ème;910ème
911;neuf-cent-onze;neuf-cent-onze;neuf-cent-onzième;neuf-cent-onzième;911ème;911ème
912;neuf-cent-douze;neuf-cent-douze;neuf-cent-douzième;neuf-cent-douzième;912ème;912ème
913;neuf-cent-treize;neuf-cent-treize;neuf-cent-treizième;neuf-cent-treizième;913ème;913ème
914;neuf-cent-quatorze;neuf-cent-quatorze;neuf-cent-quatorzième;neuf-cent-quatorzième;914ème;914ème
915;neuf-cent-quinze;neuf-cent-quinze;neuf-cent-quinzième;neuf-cent-quinzième;915ème;915ème
916;neuf-cent-seize;neuf-cent-seize;neuf-cent-seizième;neuf-cent-seizième;916ème;916ème
917;neuf-cent-dix-sept;neuf-cent-dix-sept;neuf-cent-dix-septième;neuf-cent-dix-septième;917ème;917ème
918;neuf-cent-dix-huit;neuf-cent-dix-huit;neuf-cent-dix-huitième;neuf-cent-dix-huitième;918ème;918ème
919;neuf-cent-dix-neuf;neuf-cent-dix-neuf;neuf-cent-dix-neuvième;neuf-cent-dix-neuvième;919ème;919ème
920;neuf-cent-vingt;neuf-cent-vingt;neuf-cent-vingtième;neuf-cent-vingtième;920ème;920ème
921;neuf-cent-vingt-et-un;neuf-cent-vingt-et-un;neuf-cent-vingt-et-unième;neuf-cent-vingt-et-unième;921ème;921ème
922;neuf-cent-vingt-deux;neuf-cent-vingt-deux;neuf-cent-vingt-deuxième;neuf-cent-vingt-deuxième;922ème;922ème
923;neuf-cent-vingt-trois;neuf-cent-vingt-trois;neuf-cent-vingt-troisième;neuf-cent-vingt-troisième;923ème;923ème
924;neuf-cent-vingt-quatre;neuf-cent-vingt-quatre;neuf-cent-vingt-quatrième;neuf-cent-vingt-quatrième;924ème;924ème
925;neuf-cent-vingt-cinq;neuf-cent-vingt-cinq;neuf-cent-vingt-cinquième;neuf-cent-vingt-cinquième;925ème;925ème
926;neuf-cent-vingt-six;neuf-cent-vingt-six;neuf-cent-vingt-sixième;neuf-cent-vingt-sixième;926ème;926ème
927;neuf-cent-vingt-sept;neuf-cent-vingt-sept;neuf-cent-vingt-septième;neuf-cent-vingt-septième;927ème;927ème
928;neuf-cent-vingt-huit;neuf-cent-vingt-huit;neuf-cent-vingt-huitième;neuf-cent-vingt-huitième;928ème;928ème
929;neuf-cent-vingt-neuf;neuf-cent-vingt-neuf;neuf-cent-vingt-neuvième;neuf-cent-vingt-neuvième;929ème;929ème
930;neuf-cent-trente;neuf-cent-trente;neuf-cent-trentième;neuf-cent-trentième;930ème;930ème
931;neuf-cent-trente-et-un;neuf-cent-trente-et-un;neuf-cent-trente-et-unième;neuf-cent-trente-et-unième;931ème;931ème
932;neuf-cent-trente-deux;neuf-cent-trente-deux;neuf-cent-trente-deuxième;neuf-cent-trente-deuxième;932ème;932ème
933;neuf-cent-trente-trois;neuf-cent-trente-trois;neuf-cent-trente-troisième;neuf-cent-trente-troisième;933ème;933ème
934;neuf-cent-trente-quatre;neuf-cent-trente-quatre;neuf-cent-trente-quatrième;neuf-cent-trente-quatrième;934ème;934ème
935;neuf-cent-trente-cinq;neuf-cent-trente-cinq;neuf-cent-trente-cinquième;neuf-cent-trente-cinquième;935ème;935ème
936;neuf-cent-trente-six;neuf-cent-trente-six;neuf-cent-trente-sixième;neuf-cent-trente-sixième;936ème;936ème
937;neuf-cent-trente-sept;neuf-cent-trente-sept;neuf-cent-trente-septième;neuf-cent-trente-septième;937ème;937ème
938;neuf-cent-trente-huit;neuf-cent-trente-huit;neuf-cent-trente-huitième;neuf-cent-trente-huitième;938ème;938ème
939;neuf-cent-trente-neuf;neuf-cent-trente-neuf;neuf-cent-trente-neuvième;neuf-cent-trente-neuvième;939ème;939ème
940;neuf-cent-quarante;neuf-cent-quarante;neuf-cent-quarantième;neuf-cent-quarantième;940ème;940ème
941;neuf-cent-quarante-et-un;neuf-cent-quarante-et-un;neuf-cent-quarante-et-unième;neuf-cent-quarante-et-unième;941ème;941ème
942;neuf-cent-quarante-deux;neuf-cent-quarante-deux;neuf-cent-quarante-deuxième;neuf-cent-quarante-deuxième;942ème;942ème
943;neuf-cent-quarante-trois;neuf-cent-quarante-trois;neuf-cent-quarante-troisième;neuf-cent-quarante-troisième;943ème;943ème
944;neuf-cent-quarante-quatre;neuf-cent-quarante-quatre;neuf-cent-quarante-quatrième;neuf-cent-quarante-quatrième;944ème;944ème
945;neuf-cent-quarante-cinq;neuf-cent-quarante-cinq;neuf-cent-quarante-cinquième;neuf-cent-quarante-cinquième;945ème;945ème
946;neuf-cent-quarante-six;neuf-cent-quarante-six;neuf-cent-quarante-sixième;neuf-cent-quarante-sixième;946ème;946ème
947;neuf-cent-quarante-sept;neuf-cent-quarante-sept;neuf-cent-quarante-septième;neuf-cent-quarante-septième;947ème;947ème
948;neuf-cent-quarante-huit;neuf-cent-quarante-huit;neuf-cent-quarante-huitième;neuf-cent-quarante-huitième;948ème;948ème
949;neuf-cent-quarante-neuf;neuf-cent-quarante-neuf;neuf-cent-quarante-neuvième;neuf-cent-quarante-neuvième;949ème;949ème
950;neuf-cent-cinquante;neuf-cent-cinquante;neuf-cent-cinquantième;neuf-cent-cinquantième;950ème;950ème
951;neuf-cent-cinquante-et-un;neuf-cent-cinquante-et-un;neuf-cent-cinquante-et-unième;neuf-cent-cinquante-et-unième;951ème;951ème
952;neuf-cent-cinquante-deux;neuf-cent-cinquante-deux;neuf-cent-cinquante-deuxième;neuf-cent-cinquante-deuxième;952ème;952ème
953;neuf-cent-cinquante-trois;neuf-cent-cinquante-trois;neuf-cent-cinquante-troisième;neuf-cent-cinquante-troisième;953ème;953ème
954;neuf-cent-cinquante-quatre;neuf-cent-cinquante-quatre;neuf-cent-cinquante-quatrième;neuf-cent-cinquante-quatrième;954ème;954ème
955;neuf-cent-cinquante-cinq;neuf-cent-cinquante-cinq;neuf-cent-cinquante-cinquième;neuf-cent-cinquante-cinquième;955ème;955ème
956;neuf-cent-cinquante-six;neuf-cent-cinquante-six;neuf-cent-cinquante-sixième;neuf-cent-cinquante-sixième;956ème;956ème
957;neuf-cent-cinquante-sept;neuf-cent-cinquante-sept;neuf-cent-cinquante-septième;neuf-cent-cinquante-septième;957ème;957ème
958;neuf-cent-cinquante-huit;neuf-cent-cinquante-huit;neuf-cent-cinquante-huitième;neuf-cent-cinquante-huitième;958ème;958ème
959;neuf-cent-cinquante-neuf;neuf-cent-cinquante-neuf;neuf-cent-cinquante-neuvième;neuf-cent-cinquante-neuvième;959ème;959ème
960;neuf-cent-soixante;neuf-cent-soixante;neuf-cent-soixantième;neuf-cent-soixantième;960ème;960ème
961;neuf-cent-soixante-et-un;neuf-cent-soixante-et-un;neuf-cent-soixante-et-unième;neuf-cent-soixante-et-unième;961ème;961ème
962;neuf-cent-soixante-deux;neuf-cent-soixante-deux;neuf-cent-soixante-deuxième;neuf-cent-soixante-deuxième;962ème;962ème
963;neuf-cent-soixante-trois;neuf-cent-soixante-trois;neuf-cent-soixante-troisième;neuf-cent-soixante-troisième;963ème;963ème
964;neuf-cent-soixante-quatre;neuf-cent-soixante-quatre;neuf-cent-soixante-quatrième;neuf-cent-soixante-quatrième;964ème;964ème
965;neuf-cent-soixante-cinq;neuf-cent-soixante-cinq;neuf-cent-soixante-cinquième;neuf-cent-soixante-cinquième;965ème;965ème
966;neuf-cent-soixante-six;neuf-cent-soixante-six;neuf-cent-soixante-sixième;neuf-cent-soixante-sixième;966ème;966ème
967;neuf-cent-soixante-sept;neuf-cent-soixante-sept;neuf-cent-soixante-septième;neuf-cent-soixante-septième;967ème;967ème
968;neuf-cent-soixante-huit;neuf-cent-soixante-huit;neuf-cent-soixante-huitième;neuf-cent-soixante-huitième;968ème;968ème
969;neuf-cent-soixante-neuf;neuf-cent-soixante-neuf;neuf-cent-soixante-neuvième;neuf-cent-soixante-neuvième;969ème;969ème
970;neuf-cent-soixante-dix;neuf-cent-soixante-dix;neuf-cent-soixante-dixième;neuf-cent-soixante-dixième;970ème;970ème
971;neuf-cent-soixante-et-onze;neuf-cent-soixante-et-onze;neuf-cent-soixante-et-onzième;neuf-cent-soixante-et-onzième;971ème;971ème
972;neuf-cent-soixante-douze;neuf-cent-soixante-douze;neuf-cent-soixante-douzième;neuf-cent-soixante-douzième;972ème;972ème
973;neuf-cent-soixante-treize;neuf-cent-soixante-treize;neuf-cent-soixante-treizième;neuf-cent-soixante-treizième;973ème;973ème
974;neuf-cent-soixante-quatorze;neuf-cent-soixante-quatorze;neuf-cent-soixante-quatorzième;neuf-cent-soixante-quatorzième;974ème;974ème
975;neuf-cent-soixante-quinze;neuf-cent-soixante-quinze;neuf-cent-soixante-quinzième;neuf-cent-soixante-quinzième;975ème;975ème
976;neuf-cent-soixante-seize;neuf-cent-soixante-seize;neuf-cent-soixante-seizième;neuf-cent-soixante-seizième;976ème;976ème
977;neuf-cent-soixante-dix-sept;neuf-cent-soixante-dix-sept;neuf-cent-soixante-dix-septième;neuf-cent-soixante-dix-septième;977ème;977ème
978;neuf-cent-soixante-dix-huit;neuf-cent-soixante-dix-huit;neuf-cent-soixante-dix-huitième;neuf-cent-soixante-dix-huitième;978ème;978ème
979;neuf-cent-soixante-dix-neuf;neuf-cent-soixante-dix-neuf;neuf-cent-soixante-dix-neuvième;neuf-cent-soixante-dix-neuvième;979ème;979ème
980;neuf-cent-quatre-vingts;neuf-cent-quatre-vingts;neuf-cent-quatre-vingtsième;neuf-cent-quatre-vingtsième;980ème;980ème
981;neuf-cent-quatre-vingt-un;neuf-cent-quatre-vingt-un;neuf-cent-quatre-vingt-unième;neuf-cent-quatre-vingt-unième;981ème;981ème
982;neuf-cent-quatre-vingt-deux;neuf-cent-quatre-vingt-deux;neuf-cent-quatre-vingt-deuxième;neuf-cent-quatre-vingt-deuxième;982ème;982ème
983;neuf-cent-quatre-vingt-trois;neuf-cent-quatre-vingt-trois;neuf-cent-quatre-vingt-troisième;neuf-cent-quatre-vingt-troisième;983ème;983ème
984;neuf-cent-quatre-vingt-quatre;neuf-cent-quatre-vingt-quatre;neuf-cent-quatre-vingt-quatrième;neuf-cent-quatre-vingt-quatrième;984ème;984ème
985;neuf-cent-quatre-vingt-cinq;neuf-cent-quatre-vingt-cinq;neuf-cent-quatre-vingt-cinquième;neuf-cent-quatre-vingt-cinquième;985ème;985ème
986;neuf-cent-quatre-vingt-six;neuf-cent-quatre-vingt-six;neuf-cent-quatre-vingt-sixième;neuf-cent-quatre-vingt-sixième;986ème;986ème
987;neuf-cent-quatre-vingt-sept;neuf-cent-quatre-vingt-sept;neuf-cent-quatre-vingt-septième;neuf-cent-quatre-vingt-septième;987ème;987ème
988;neuf-cent-quatre-vingt-huit;neuf-cent-quatre-vingt-huit;neuf-cent-quatre-vingt-huitième;neuf-cent-quatre-vingt-huitième;988ème;988ème
989;neuf-cent-quatre-vingt-neuf;neuf-cent-quatre-vingt-neuf;neuf-cent-quatre-vingt-neuvième;neuf-cent-quatre-vingt-neuvième;989ème;989ème
990;neuf-cent-quatre-vingt-dix;neuf-cent-quatre-vingt-dix;neuf-cent-quatre-vingt-dixième;neuf-cent-quatre-vingt-dixième;990ème;990ème
991;neuf-cent-quatre-vingt-onze;neuf-cent-quatre-vingt-onze;neuf-cent-quatre-vingt-onzième;neuf-cent-quatre-vingt-onzième;991ème;991ème
992;neuf-cent-quatre-vingt-douze;neuf-cent-quatre-vingt-douze;neuf-cent-quatre-vingt-douzième;neuf-cent-quatre-vingt-douzième;992ème;992ème
993;neuf-cent-quatre-vingt-treize;neuf-cent-quatre-vingt-treize;neuf-cent-quatre-vingt-treizième;neuf-cent-quatre-vingt-treizième;993ème;993ème
994;neuf-cent-quatre-vingt-quatorze;neuf-cent-quatre-vingt-quatorze;neuf-cent-quatre-vingt-quatorzième;neuf-cent-quatre-vingt-quatorzième;994ème;994ème
995;neuf-cent-quatre-vingt-quinze;neuf-cent-quatre-vingt-quinze;neuf-cent-quatre-vingt-quinzième;neuf-cent-quatre-vingt-quinzième;995ème;995ème
996;neuf-cent-quatre-vingt-seize;neuf-cent-quatre-vingt-seize;neuf-cent-quatre-vingt-seizième;neuf-cent-quatre-vingt-seizième;996ème;996ème
997;neuf-cent-quatre-vingt-dix-sept;neuf-cent-quatre-vingt-dix-sept;neuf-cent-quatre-vingt-dix-septième;neuf-cent-quatre-vingt-dix-septième;997ème;997ème
998;neuf-cent-quatre-vingt-dix-huit;neuf-cent-quatre-vingt-dix-huit;neuf-cent-quatre-vingt-dix-huitième;neuf-cent-quatre-vingt-dix-huitième;998ème;998ème
999;neuf-cent-quatre-vingt-dix-neuf;neuf-cent-quatre-vingt-dix-neuf;neuf-cent-quatre-vingt-dix-neuvième;neuf-cent-quatre-vingt-dix-neuvième;999ème;999ème
1000;mille;mille;millième;millième;1000ème;1000ème
1001;mille-un;mille-un;mille-unième;mille-unième;1001ème;1001ème
1002;mille-deux;mille-deux;mille-deuxième;mille-deuxième;1002ème;1002ème
1003;mille-trois;mille-trois;mille-troisième;mille-troisième;1003ème;1003ème
1004;mille-quatre;mille-quatre;mille-quatrième;mille-quatrième;1004ème;1004ème
1005;mille-cinq;mille-cinq;mille-cinquième;mille-cinquième;1005ème;1005ème
1006;mille-six;mille-six;mille-sixième;mille-sixième;1006ème;1006ème
1007;mille-sept;mille-sept;mille-septième;mille-septième;1007ème;1007ème
1008;mille-huit;mille-huit;mille-huitième;mille-huitième;1008ème;1008ème
1009;mille-neuf;mille-neuf;mille-neuvième;mille-neuvième;1009ème;1009ème
1010;mille-dix;mille-dix;mille-dixième;mille-dixième;1010ème;1010ème
1011;mille-onze;mille-onze;mille-onzième;mille-onzième;1011ème;1011ème
1012;mille-douze;mille-douze;mille-douzième;mille-douzième;1012ème;1012ème
1013;mille-treize;mille-treize;mille-treizième;mille-treizième;1013ème;1013ème
1014;mille-quatorze;mille-quatorze;mille-quatorzième;mille-quatorzième;1014ème;1014ème
1015;mille-quinze;mille-quinze;mille-quinzième;mille-quinzième;1015ème;1015ème
1016;mille-seize;mille-seize;mille-seizième;mille-seizième;1016ème;1016ème
1017;mille-dix-sept;mille-dix-sept;mille-dix-septième;mille-dix-septième;1017ème;1017ème
1018;mille-dix-huit;mille-dix-huit;mille-dix-huitième;mille-dix-huitième;1018ème;1018ème
1019;mille-dix-neuf;mille-dix-neuf;mille-dix-neuvième;mille-dix-neuvième;1019ème;1019ème
1020;mille-vingt;mille-vingt;mille-vingtième;mille-vingtième;1020ème;1020ème
1021;mille-vingt-et-un;mille-vingt-et-un;mille-vingt-et-unième;mille-vingt-et-unième;1021ème;1021ème
1022;mille-vingt-deux;mille-vingt-deux;mille-vingt-deuxième;mille-vingt-deuxième;1022ème;1022ème
1023;mille-vingt-trois;mille-vingt-trois;mille-vingt-troisième;mille-vingt-troisième;1023ème;1023ème
1024;mille-vingt-quatre;mille-vingt-quatre;mille-vingt-quatrième;mille-vingt-quatrième;1024ème;1024ème
1025;mille-vingt-cinq;mille-vingt-cinq;mille-vingt-cinquième;mille-vingt-cinquième;1025ème;1025ème
1026;mille-vingt-six;mille-vingt-six;mille-vingt-sixième;mille-vingt-sixième;1026ème;1026ème
1027;mille-vingt-sept;mille-vingt-sept;mille-vingt-septième;mille-vingt-septième;1027ème;1027ème
1028;mille-vingt-huit;mille-vingt-huit;mille-vingt-huitième;mille-vingt-huitième;1028ème;1028ème
1029;mille-vingt-neuf;mille-vingt-neuf;mille-vingt-neuvième;mille-vingt-neuvième;1029ème;1029ème
1030;mille-trente;mille-trente;mille-trentième;mille-trentième;1030ème;1030ème
1040;mille-quarante;mille-quarante;mille-quarantième;mille-quarantième;1040ème;1040ème
1050;mille-cinquante;mille-cinquante;mille-cinquantième;mille-cinquantième;1050ème;1050ème
1060;mille-soixante;mille-soixante;mille-soixantième;mille-soixantième;1060ème;1060ème
1070;mille-soixante-dix;mille-soixante-dix;mille-soixante-dixième;mille-soixante-dixième;1070ème;1070ème
1071;mille-soixante-et-onze;mille-soixante-et-onze;mille-soixante-et-onzième;mille-soixante-et-onzième;1071ème;1071ème
1072;mille-soixante-douze;mille-soixante-douze;mille-soixante-douzième;mille-soixante-douzième;1072ème;1072ème
1073;mille-soixante-treize;mille-soixante-treize;mille-soixante-treizième;mille-soixante-treizième;1073ème;1073ème
1074;mille-soixante-quatorze;mille-soixante-quatorze;mille-soixante-quatorzième;mille-soixante-quatorzième;1074ème;1074ème
1075;mille-soixante-quinze;mille-soixante-quinze;mille-soixante-quinzième;mille-soixante-quinzième;1075ème;1075ème
1076;mille-soixante-seize;mille-soixante-seize;mille-soixante-seizième;mille-soixante-seizième;1076ème;1076ème
1077;mille-soixante-dix-sept;mille-soixante-dix-sept;mille-soixante-dix-septième;mille-soixante-dix-septième;1077ème;1077ème
1078;mille-soixante-dix-huit;mille-soixante-dix-huit;mille-soixante-dix-huitième;mille-soixante-dix-huitième;1078ème;1078ème
1079;mille-soixante-dix-neuf;mille-soixante-dix-neuf;mille-soixante-dix-neuvième;mille-soixante-dix-neuvième;1079ème;1079ème
1080;mille-quatre-vingts;mille-quatre-vingts;mille-quatre-vingtsième;mille-quatre-vingtsième;1080ème;1080ème
1081;mille-quatre-vingt-un;mille-quatre-vingt-un;mille-quatre-vingt-unième;mille-quatre-vingt-unième;1081ème;1081ème
1082;mille-quatre-vingt-deux;mille-quatre-vingt-deux;mille-quatre-vingt-deuxième;mille-quatre-vingt-deuxième;1082ème;1082ème
1083;mille-quatre-vingt-trois;mille-quatre-vingt-trois;mille-quatre-vingt-troisième;mille-quatre-vingt-troisième;1083ème;1083ème
1084;mille-quatre-vingt-quatre;mille-quatre-vingt-quatre;mille-quatre-vingt-quatrième;mille-quatre-vingt-quatrième;1084ème;1084ème
1085;mille-quatre-vingt-cinq;mille-quatre-vingt-cinq;mille-quatre-vingt-cinquième;mille-quatre-vingt-cinquième;1085ème;1085ème
1086;mille-quatre-vingt-six;mille-quatre-vingt-six;mille-quatre-vingt-sixième;mille-quatre-vingt-sixième;1086ème;1086ème
1087;mille-quatre-vingt-sept;mille-quatre-vingt-sept;mille-quatre-vingt-septième;mille-quatre-vingt-septième;1087ème;1087ème
1088;mille-quatre-vingt-huit;mille-quatre-vingt-huit;mille-quatre-vingt-huitième;mille-quatre-vingt-huitième;1088ème;1088ème
1089;mille-quatre-vingt-neuf;mille-quatre-vingt-neuf;mille-quatre-vingt-neuvième;mille-quatre-vingt-neuvième;1089ème;1089ème
1090;mille-quatre-vingt-dix;mille-quatre-vingt-dix;mille-quatre-vingt-dixième;mille-quatre-vingt-dixième;1090ème;1090ème
1091;mille-quatre-vingt-onze;mille-quatre-vingt-onze;mille-quatre-vingt-onzième;mille-quatre-vingt-onzième;1091ème;1091ème
1092;mille-quatre-vingt-douze;mille-quatre-vingt-douze;mille-quatre-vingt-douzième;mille-quatre-vingt-douzième;1092ème;1092ème
1093;mille-quatre-vingt-treize;mille-quatre-vingt-treize;mille-quatre-vingt-treizième;mille-quatre-vingt-treizième;1093ème;1093ème
1094;mille-quatre-vingt-quatorze;mille-quatre-vingt-quatorze;mille-quatre-vingt-quatorzième;mille-quatre-vingt-quatorzième;1094ème;1094ème
1095;mille-quatre-vingt-quinze;mille-quatre-vingt-quinze;mille-quatre-vingt-quinzième;mille-quatre-vingt-quinzième;1095ème;1095ème
1096;mille-quatre-vingt-seize;mille-quatre-vingt-seize;mille-quatre-vingt-seizième;mille-quatre-vingt-seizième;1096ème;1096ème
1097;mille-quatre-vingt-dix-sept;mille-quatre-vingt-dix-sept;mille-quatre-vingt-dix-septième;mille-quatre-vingt-dix-septième;1097ème;1097ème
1098;mille-quatre-vingt-dix-huit;mille-quatre-vingt-dix-huit;mille-quatre-vingt-dix-huitième;mille-quatre-vingt-dix-huitième;1098ème;1098ème
1099;mille-quatre-vingt-dix-neuf;mille-quatre-vingt-dix-neuf;mille-quatre-vingt-dix-neuvième;mille-quatre-vingt-dix-neuvième;1099ème;1099ème
1100;mille-cent;mille-cent;mille-centième;mille-centième;1100ème;1100ème
1101;mille-cent-un;mille-cent-un;mille-cent-unième;mille-cent-unième;1101ème;1101ème
1102;mille-cent-deux;mille-cent-deux;mille-cent-deuxième;mille-cent-deuxième;1102ème;1102ème
1103;mille-cent-trois;mille-cent-trois;mille-cent-troisième;mille-cent-troisième;1103ème;1103ème
1104;mille-cent-quatre;mille-cent-quatre;mille-cent-quatrième;mille-cent-quatrième;1104ème;1104ème
1105;mille-cent-cinq;mille-cent-cinq;mille-cent-cinquième;mille-cent-cinquième;1105ème;1105ème
1106;mille-cent-six;mille-cent-six;mille-cent-sixième;mille-cent-sixième;1106ème;1106ème
1107;mille-cent-sept;mille-cent-sept;mille-cent-septième;mille-cent-septième;1107ème;1107ème
1108;mille-cent-huit;mille-cent-huit;mille-cent-huitième;mille-cent-huitième;1108ème;1108ème
1109;mille-cent-neuf;mille-cent-neuf;mille-cent-neuvième;mille-cent-neuvième;1109ème;1109ème
1110;mille-cent-dix;mille-cent-dix;mille-cent-dixième;mille-cent-dixième;1110ème;1110ème
1200;mille-deux-cents;mille-deux-cents;mille-deux-centsième;mille-deux-centsième;1200ème;1200ème
1201;mille-deux-cent-un;mille-deux-cent-un;mille-deux-cent-unième;mille-deux-cent-unième;1201ème;1201ème
1203;mille-deux-cent-trois;mille-deux-cent-trois;mille-deux-cent-troisième;mille-deux-cent-troisième;1203ème;1203ème
2000;deux-mille;deux-mille;deux-millième;deux-millième;2000ème;2000ème
3000;trois-mille;trois-mille;trois-millième;trois-millième;3000ème;3000ème
4000;quatre-mille;quatre-mille;quatre-millième;quatre-millième;4000ème;4000ème
5000;cinq-mille;cinq-mille;cinq-millième;cinq-millième;5000ème;5000ème
6000;six-mille;six-mille;six-millième;six-millième;6000ème;6000ème
7000;sept-mille;sept-mille;sept-millième;sept-millième;7000ème;7000ème
8000;huit-mille;huit-mille;huit-millième;huit-millième;8000ème;8000ème
9000;neuf-mille;neuf-mille;neuf-millième;neuf-millième;9000ème;9000ème
10000;dix-mille;dix-mille;dix-millième;dix-millième;10000ème;10000ème
11000;onze-mille;onze-mille;onze-millième;onze-millième;11000ème;11000ème
12000;douze-mille;douze-mille;douze-millième;douze-millième;12000ème;12000ème
13000;treize-mille;treize-mille;treize-millième;treize-millième;13000ème;13000ème
14000;quatorze-mille;quatorze-mille;quatorze-millième;quatorze-millième;14000ème;14000ème
